Time - Dev6/ai0	Amplitude - Dev6/ai0
3796210831	-1,90691
3796210831	-1,97058
3796210831	-2,04571
3796210831	-2,01897
3796210831	-1,95148
3796210831	-1,94129
3796210831	-2,0368
3796210831	-2,03553
3796210831	-1,88144
3796210831	-1,8356
3796210831	-1,91583
3796210831	-1,72991
3796210831	-1,72227
3796210831	-1,6777
3796210831	-1,64332
3796210831	-1,50069
3796210831	-1,18107
3796210831	-1,63695
3796210831	-1,56436
3796210831	-1,55036
3796210831	-1,62676
3796210831	-1,4523
3796210831	-1,4765
3796210831	1,89805
3796210831	-1,08811
3796210831	-3,16632
3796210831	-1,16451
3796210831	-1,01552
3796210831	-0,96968
3796210831	-0,823237
3796210831	-0,714997
3796210831	-0,526532
3796210831	-0,332973
3796210831	-0,324059
3796210831	-0,134321
3796210831	0,111448
3796210831	0,385232
3796210831	0,315194
3796210831	0,210774
3796210831	-0,241287
3796210831	-1,27403
3796210831	-1,95403
3796210831	-2,01643
3796210832	-2,02789
3796210832	-1,98332
3796210832	-1,83051
3796210832	-1,67642
3796210832	-1,84069
3796210832	-1,80504
3796210832	-1,77957
3796210832	-1,86107
3796210832	-1,83178
3796210832	-1,92983
3796210832	-1,82032
3796210832	-1,81523
3796210832	-1,78976
3796210832	-1,79358
3796210832	-1,70317
3796210832	-1,71463
3796210832	-1,6777
3796210832	-1,73373
3796210832	-1,64841
3796210832	-1,6535
3796210832	-1,64841
3796210832	-1,73373
3796210832	-1,72736
3796210832	-1,55163
3796210832	-1,48796
3796210832	-1,56436
3796210832	-1,70699
3796210832	-1,70189
3796210832	-1,63949
3796210832	-1,70826
3796210832	-1,51725
3796210832	-0,438666
3796210832	1,86748
3796210832	-4,57089
3796210832	-1,12504
3796210832	-0,907282
3796210832	-0,853799
3796210832	-0,833424
3796210832	-0,553274
3796210832	-0,558367
3796210832	-0,427206
3796210832	-0,401737
3796210832	-0,169976
3796210832	0,0324965
3796210832	0,178939
3796210832	0,270625
3796210832	0,236243
3796210832	-0,102485
3796210832	-1,1123
3796210832	-1,83815
3796210833	-2,16796
3796210833	-2,2571
3796210833	-2,20871
3796210833	-2,00751
3796210833	-2,04444
3796210833	-1,97822
3796210833	-1,85088
3796210833	-1,99605
3796210833	-1,92601
3796210833	-1,98459
3796210833	-2,12721
3796210833	-1,94893
3796210833	-1,83687
3796210833	-1,75283
3796210833	-1,73373
3796210833	-1,84197
3796210833	-1,76556
3796210833	-1,6535
3796210833	-1,72227
3796210833	-1,82287
3796210833	-1,76684
3796210833	-1,54272
3796210833	-1,70189
3796210833	-1,83815
3796210833	-1,71845
3796210833	-1,58346
3796210833	-1,50833
3796210833	-1,41537
3796210833	-1,51215
3796210833	-1,65987
3796210833	-1,52107
3796210833	-1,68152
3796210833	-1,56309
3796210833	-1,48669
3796210833	-1,12758
3796210833	2,59588
3796210833	-4,40153
3796210833	-1,47904
3796210833	-1,02953
3796210833	-0,979867
3796210833	-0,811776
3796210833	-0,698443
3796210833	-0,489603
3796210833	-0,29095
3796210833	-0,358441
3796210833	-0,0833841
3796210833	0,185306
3796210833	0,233696
3796210833	0,504933
3796210833	0,489652
3796210834	0,273172
3796210834	-0,348254
3796210834	-1,3517
3796210834	-1,83942
3796210834	-1,94384
3796210834	-1,87253
3796210834	-1,93875
3796210834	-1,82541
3796210834	-1,74519
3796210834	-1,70953
3796210834	-1,74264
3796210834	-1,81523
3796210834	-1,88399
3796210834	-1,83051
3796210834	-1,84706
3796210834	-1,78976
3796210834	-1,6917
3796210834	-1,68406
3796210834	-1,74901
3796210834	-1,62931
3796210834	-1,76429
3796210834	-1,60129
3796210834	-1,56564
3796210834	-1,6586
3796210834	-1,56818
3796210834	-1,70189
3796210834	-1,68279
3796210834	-1,60766
3796210834	-1,56564
3796210834	-1,39755
3796210834	-1,32878
3796210834	-1,64586
3796210834	-1,60257
3796210834	-1,57964
3796210834	-1,51215
3796210834	-1,53253
3796210834	-1,37717
3796210834	2,3361
3796210834	-1,30713
3796210834	-2,43028
3796210834	-1,00916
3796210834	-0,844885
3796210834	-0,699716
3796210834	-0,749379
3796210834	-0,60803
3796210834	-0,480689
3796210834	-0,311325
3796210834	-0,338067
3796210834	0,0235826
3796210834	0,181486
3796210835	0,14583
3796210835	0,432348
3796210835	0,181486
3796210835	-0,411925
3796210835	-1,31095
3796210835	-1,94766
3796210835	-2,10938
3796210835	-2,13867
3796210835	-2,0801
3796210835	-1,92601
3796210835	-2,00114
3796210835	-2,05845
3796210835	-1,90819
3796210835	-2,03043
3796210835	-2,02661
3796210835	-2,14377
3796210835	-2,04699
3796210835	-1,95021
3796210835	-1,97186
3796210835	-2,06481
3796210835	-2,02407
3796210835	-1,95021
3796210835	-1,77957
3796210835	-1,88781
3796210835	-1,78594
3796210835	-1,8547
3796210835	-1,67388
3796210835	-1,82796
3796210835	-1,61403
3796210835	-1,62294
3796210835	-1,54654
3796210835	-1,55672
3796210835	-1,32369
3796210835	-1,4332
3796210835	-1,52998
3796210835	-1,54272
3796210835	-1,50197
3796210835	-1,50069
3796210835	-1,42938
3796210835	-0,759566
3796210835	2,65573
3796210835	-4,83576
3796210835	-1,33006
3796210835	-0,92511
3796210835	-0,870353
3796210835	-0,666607
3796210835	-0,60039
3796210835	-0,522712
3796210835	-0,327879
3796210835	-0,166156
3796210836	-0,000612243
3796210836	0,241336
3796210836	0,343209
3796210836	0,489652
3796210836	0,319014
3796210836	0,255344
3796210836	-0,488329
3796210836	-1,22691
3796210836	-1,64714
3796210836	-1,56309
3796210836	-1,61785
3796210836	-1,64204
3796210836	-1,63185
3796210836	-1,43066
3796210836	-1,58728
3796210836	-1,52998
3796210836	-1,63822
3796210836	-1,72736
3796210836	-1,75538
3796210836	-1,69807
3796210836	-1,81013
3796210836	-1,88144
3796210836	-1,66114
3796210836	-1,74901
3796210836	-1,62039
3796210836	-1,68534
3796210836	-1,58092
3796210836	-1,572
3796210836	-1,52361
3796210836	-1,57073
3796210836	-1,49942
3796210836	-1,59111
3796210836	-1,34661
3796210836	-1,2562
3796210836	-1,51597
3796210836	-1,58601
3796210836	-1,6968
3796210836	-1,69298
3796210836	-1,59365
3796210836	-1,41665
3796210836	2,23932
3796210836	-1,32751
3796210836	-2,69006
3796210836	-1,04608
3796210836	-0,955672
3796210836	-0,76848
3796210836	-0,722637
3796210836	-0,614397
3796210836	-0,624585
3796210836	-0,564734
3796210837	-0,552
3796210837	-0,18271
3796210837	-0,236194
3796210837	0,170025
3796210837	0,208227
3796210837	-0,07065
3796210837	-0,438666
3796210837	-1,42429
3796210837	-2,00878
3796210837	-2,19216
3796210837	-2,17942
3796210837	-2,11957
3796210837	-2,22017
3796210837	-2,09792
3796210837	-2,05335
3796210837	-2,0559
3796210837	-2,04699
3796210837	-2,075
3796210837	-2,15013
3796210837	-2,02279
3796210837	-2,05208
3796210837	-1,99605
3796210837	-2,02916
3796210837	-1,89545
3796210837	-1,86744
3796210837	-1,87635
3796210837	-1,79612
3796210837	-1,75665
3796210837	-1,67515
3796210837	-1,75283
3796210837	-1,68152
3796210837	-1,63949
3796210837	-1,45358
3796210837	-1,5529
3796210837	-1,31095
3796210837	-1,41537
3796210837	-1,61403
3796210837	-1,5962
3796210837	-1,50706
3796210837	-1,47395
3796210837	-1,30077
3796210837	0,732874
3796210837	0,650102
3796210837	-3,84759
3796210837	-1,07792
3796210837	-0,842338
3796210837	-0,832151
3796210837	-0,666607
3796210837	-0,573648
3796210837	-0,317692
3796210838	-0,359715
3796210838	-0,203085
3796210838	-0,0426349
3796210838	0,168752
3796210838	0,404333
3796210838	0,478191
3796210838	0,400513
3796210838	0,018489
3796210838	-0,908556
3796210838	-1,48159
3796210838	-1,88144
3796210838	-1,72099
3796210838	-1,84961
3796210838	-1,74901
3796210838	-1,78848
3796210838	-1,63822
3796210838	-1,78848
3796210838	-1,76302
3796210838	-1,80122
3796210838	-1,85088
3796210838	-1,79103
3796210838	-1,78339
3796210838	-1,87253
3796210838	-1,76811
3796210838	-1,73118
3796210838	-1,76556
3796210838	-1,57073
3796210838	-1,68406
3796210838	-1,52489
3796210838	-1,58728
3796210838	-1,54144
3796210838	-1,49942
3796210838	-1,51979
3796210838	-1,39755
3796210838	-1,33642
3796210838	-1,41665
3796210838	-1,59747
3796210838	-1,72736
3796210838	-1,61785
3796210838	-1,69935
3796210838	-1,53635
3796210838	-0,585109
3796210838	2,18838
3796210838	-4,85614
3796210838	-1,36316
3796210838	-1,20781
3796210838	-1,17725
3796210838	-0,995148
3796210838	-0,884361
3796210838	-0,670428
3796210839	-0,578742
3796210839	-0,422112
3796210839	-0,169976
3796210839	0,0337699
3796210839	0,214595
3796210839	0,392872
3796210839	0,270625
3796210839	-0,0630095
3796210839	-0,877994
3796210839	-1,70317
3796210839	-1,95403
3796210839	-1,95657
3796210839	-1,96422
3796210839	-1,74901
3796210839	-1,78594
3796210839	-1,6535
3796210839	-1,6968
3796210839	-1,61275
3796210839	-1,77448
